DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             1.1405379
Formation Factor (ratio)                14.7386634
Cementation Factor (ratio)              1.9042206
pore density (1/um3)                    1.7e-06
Tortuosity (ratio)                      1.2443834
Average Coordination Number             4.478728
Average Throat Radius (um)              15.0556575
Average Pore Radius (um)                26.9941965
Average Throat Length (um)              85.5445165
Pore to Throat Aspect ratio             3.4341114
Specific Surface (1/um)                 0.0254289
Pore Sphericity (ratio)                 0.7200877
Grain Sphericity (ratio)                0.8562742
Average Grain Radius (um)               45.2546802
Relative Young Module (ratio)           0.3019229

__________________________________________________
       ### Functions and distributions ###
__________________________________________________

Cumulative probability                  Value
--------------------------------------------------
0.01                                    1.0075098
0.02                                    1.0047358
0.03                                    1.0055054
0.04                                    1.0077019
0.05                                    1.0122807
0.06                                    1.0215715
0.07                                    1.0293765
0.08                                    1.0349437
0.09                                    1.0443023
0.1                                     1.0727227
0.11                                    1.0642909
0.12                                    1.0632473
0.13                                    1.084642
0.14                                    1.0837095
0.15                                    1.0775712
0.16                                    1.0786606
0.17                                    1.0913352
0.18                                    1.0996519
0.19                                    1.0855456
0.2                                     1.0908965
0.21                                    1.1039148
0.22                                    1.1053973
0.23                                    1.1247329
0.24                                    1.1385695
0.25                                    1.1185296
0.26                                    1.1361523
0.27                                    1.1639048
0.28                                    1.1576824
0.29                                    1.1563057
0.3                                     1.1701955
0.31                                    1.1715045
0.32                                    1.2352106
0.33                                    1.2225671
0.34                                    1.1560338
0.35                                    1.2201145
0.36                                    1.2402576
0.37                                    1.2334379
0.38                                    1.2002046
